code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"9",Érosion,"80015",Notre-Dame-de-Bonsecours,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-29,2021-03-26,Non,,2021-12-15,-74.915655,45.679677
"8",Inondation,"18020",Sainte-Lucie-de-Beauregard,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-25,2020-12-25,Non,,2021-03-26,-70.023945,46.737306
"139",Tornade,"85105",Rémigny,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-25,2021-05-25,Non,,2021-06-03,-79.078786,47.881407
"158",Fermeture de route,"93012",Métabetchouan - Lac-à-la-Croix,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-28,0202-05-27,Non,,2022-07-13,-71.870681,48.427249
"8",Inondation,"93012",Métabetchouan - Lac-à-la-Croix,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-22,2022-05-22,Non,,2022-07-13,-71.870681,48.427249
"8",Inondation,"93070",Saint-Henri-de-Taillon,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-21,2022-05-20,Non,,2022-07-13,-71.823478,48.664226
"101",Mouvement de terrain,"63040",Saint-Roch-Ouest,Très précise,Fissures de 13 et 21 mètres,Menace possible à la vie ou à la propriété,2020-09-03,,Oui,Une fissure découverte en 2019 et l'autre au printemps 2020.,2021-01-26,-73.662559,45.853684
"39",Feu de forêt,"95902",Lac-au-Brochet,Imprécise,,Menace possible à la vie ou à la propriété,2020-06-19,2020-06-19,Non,,2020-11-17,-69.572527,49.16251
"39",Feu de forêt,"35906",Rivière-de-la-Savane,Précise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-22,,,,2020-10-29,-73.498536,46.968092
"8",Inondation,"72005",Saint-Eustache,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-10-26,-73.897047,45.572203
"10",Matières dangereuses,"56050",Saint-Sébastien,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-18,2022-05-18,Non,,2022-05-20,-73.148172,45.126552
"101",Mouvement de terrain,"53032",Saint-Ours,Très précise,,Menace possible à la vie ou à la propriété,2022-01-06,2022-01-06,Non,,,-73.146723,45.867528
"174",Panne de télécommunication,"98025",Natashquan,Imprécise,,Menace possible à la vie ou à la propriété,2021-07-20,2021-07-20,Non,,2021-07-22,-61.818604,50.186288
"138",Orage violent,"78065",Huberdeau,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-22,,,,2022-06-08,-74.633476,45.977488
"9",Érosion,"78065",Huberdeau,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-18,,Oui,,2022-06-03,-74.628382,45.977961
"9",Érosion,"78065",Huberdeau,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-18,,Oui,Érosion depuis plusieurs mois ou plus,2022-04-29,-74.623555,45.977731
"138",Orage violent,"77011",Estérel,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.027907,46.046412
"25",Panne d'électricité,"10043",Rimouski,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-02-02,2021-02-02,Non,,2021-02-04,-68.575393,48.427122
"10",Matières dangereuses,"10043",Rimouski,Très précise,Fuite de gaz propane,Menace possible à la vie ou à la propriété,2021-08-25,2021-08-25,Non,,2021-10-28,-68.700551,48.376582
"8",Inondation,"10043",Rimouski,Précise,,Menace possible à la vie ou à la propriété,2021-03-26,,Oui,,2021-05-19,-68.711055,48.354187
"8",Inondation,"68040",Saint-Jacques-le-Mineur,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-03-07,2022-03-07,Non,,2022-04-12,-73.421449,45.27334
"101",Mouvement de terrain,"38065",Saint-Pierre-les-Becquets,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-30,2021-04-27,Oui,,2021-05-12,-72.200224,46.440245
"90",Feu urbain,"10070",Saint-Fabien,Très précise,,Menace possible à la vie ou à la propriété,2020-09-24,2020-09-24,Non,,2020-10-20,-68.861618,48.290997
"138",Orage violent,"62055",Notre-Dame-de-la-Merci,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-21,Non,,2022-06-08,-74.065485,46.228745
"8",Inondation,"62055",Notre-Dame-de-la-Merci,Imprécise,,Menace possible à la vie ou à la propriété,2020-12-27,2020-12-27,Non,,2021-05-14,-74.065485,46.228745
"8",Inondation,"62055",Notre-Dame-de-la-Merci,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2022-02-23,-74.065485,46.228745
"101",Mouvement de terrain,"08053",Matane,Très précise,Localisation du glissement,Menace faible ou non-existante à la vie ou la propriété,2021-04-27,,Oui,Dans la nuit du 26 au 27 avril,2021-05-19,-67.545898,48.776828
"101",Mouvement de terrain,"08053",Matane,Très précise,,Gravité inconnue,2021-05-05,,Oui,Durant la semaine du 25 avril à la suite de la neige et pluie du 23 avril,2022-02-23,-67.420232,48.874432
"8",Inondation,"08053",Matane,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-05-19,-67.528896,48.843498
"92",Débordement de barrage,"83032",Gracefield,Très précise,Barrage X0002890,Menace faible ou non-existante à la vie ou la propriété,2022-05-11,,Oui,Signalement recu au MTQ aujourd'hui par un de ses patrouilleurs,2022-05-13,-75.848056,46.085833
"25",Panne d'électricité,"83032",Gracefield,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-11,Non,,2022-02-23,-76.051431,46.094956
"8",Inondation,"83032",Gracefield,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-01-27,2021-01-27,Non,,2021-03-26,-76.047526,46.064874
"8",Inondation,"83032",Gracefield,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-19,2022-05-19,Non,,2022-07-20,-76.051431,46.094956
"138",Orage violent,"78070",Amherst,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-22,,,,2022-06-08,-74.766596,46.008291
"138",Orage violent,"78070",Amherst,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,2022-06-08,-74.766596,46.008291
"8",Inondation,"78070",Amherst,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2022-02-23,-74.766596,46.008291
"8",Inondation,"13025",Rivière-Bleue,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-30,2020-04-30,Non,,2020-10-29,-69.040888,47.436371
"158",Fermeture de route,"80135",Duhamel,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-13,2022-04-13,Non,,,-75.084886,46.041011
"25",Panne d'électricité,"80135",Duhamel,Imprécise,,Gravité inconnue,2022-05-22,2022-05-21,Non,,,-75.078968,46.02184
"18",Accident ferroviaire,"71060",L'Île-Perrot,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-19,2022-01-19,Non,,2022-01-20,-73.963035,45.399919
"101",Mouvement de terrain,"73025",Lorraine,Très précise,glissement de terrain,Menace faible ou non-existante à la vie ou la propriété,2020-01-22,2019-01-01,Oui,automne 2019,2021-03-25,-73.777251,45.669906
"101",Mouvement de terrain,"73025",Lorraine,Très précise,déformation de la clôture arrière,Menace faible ou non-existante à la vie ou la propriété,2020-01-22,2019-01-01,Oui,automne 2019,2021-03-25,-73.795602,45.66572
"101",Mouvement de terrain,"73025",Lorraine,Très précise,mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2020-11-16,2020-10-27,Oui,,2021-03-25,-73.77638,45.668634
"101",Mouvement de terrain,"73025",Lorraine,Très précise,2 glissements de terrain dans le boisé en cour latérale,Menace faible ou non-existante à la vie ou la propriété,2021-04-13,2017-04-01,Oui,La Ville en a pris connaissance en 2017,2021-12-07,-73.781825,45.666463
"101",Mouvement de terrain,"73025",Lorraine,Très précise,"cavité, érosion sous un arbre en portion supérieure du talus",Menace faible ou non-existante à la vie ou la propriété,2021-04-12,2021-01-01,Oui,,2021-04-13,-73.798132,45.667306
"101",Mouvement de terrain,"73025",Lorraine,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2021-09-30,,Oui,Phénomène qui se serait accentué au cours de la dernière année,,-73.780237,45.671464
"138",Orage violent,"76065",Harrington,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.561044,45.834274
"138",Orage violent,"62080",Saint-Zénon,Imprécise,,Gravité inconnue,2022-05-23,2022-05-21,Non,,2022-06-08,-73.815824,46.559495
"8",Inondation,"62080",Saint-Zénon,Précise,,Menace possible à la vie ou à la propriété,2021-03-26,2021-03-26,Non,,2021-10-26,-73.723511,46.444694
"8",Inondation,"12072",Rivière-du-Loup,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-05-04,,,,2020-10-29,-69.534948,47.836023
"8",Inondation,"05045",Bonaventure,Précise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-02,2020-12-02,Non,,2021-04-19,-65.447428,48.086775
"8",Inondation,"05045",Bonaventure,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-02,2021-04-02,Non,,2021-05-07,-65.4519,48.056405
"158",Fermeture de route,"79910",Lac-Bazinet,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-18,2022-05-18,Non,,,-74.784631,47.519713
"154",Fermeture de pont,"79910",Lac-Bazinet,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-18,2022-05-17,Non,,2022-05-27,-74.784631,47.519713
"8",Inondation,"94220",Ferland-et-Boilleau,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-28,2022-05-28,Non,,2022-07-13,-70.846566,48.182224
"138",Orage violent,"22045",Sainte-Brigitte-de-Laval,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2021-11-30,-71.197652,46.977415
"101",Mouvement de terrain,"22045",Sainte-Brigitte-de-Laval,Très précise,"Glissement de terrain, avenue Sainte-Brigitte",Menace faible ou non-existante à la vie ou la propriété,2020-10-22,2020-10-21,Non,,2021-11-30,-71.184022,47.015176
"101",Mouvement de terrain,"22045",Sainte-Brigitte-de-Laval,Très précise,Glissement de terrain dans la cour arrière,Gravité inconnue,2020-07-09,2020-07-09,Non,,2021-11-30,-71.200745,47.057521
"25",Panne d'électricité,"22045",Sainte-Brigitte-de-Laval,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-05,2020-08-05,Non,,2021-01-07,-71.205474,46.98252
"9",Érosion,"22045",Sainte-Brigitte-de-Laval,Très précise,Érosion aux 44 et 48 des Pins Sainte-Brigitte-de-Laval,Menace possible à la vie ou à la propriété,2022-05-17,2022-05-17,Non,,,-71.203407,46.962607
"8",Inondation,"22045",Sainte-Brigitte-de-Laval,Imprécise,,Menace importante à la vie ou à la propriété,2020-12-25,2020-12-25,Non,,2021-03-26,-71.205474,46.98252
"8",Inondation,"22045",Sainte-Brigitte-de-Laval,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-04-19,-71.202962,46.961951
"156",Accident de voiture,"71025",Saint-Zotique,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-25,2022-02-25,Non,,2022-03-02,-74.245934,45.243217
"122",Accident maritime,"71025",Saint-Zotique,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-29,2022-06-29,Non,,2022-07-04,-74.273628,45.220989
"9",Érosion,"05015",Saint-Godefroi,Très précise,Signalement en érosion,Menace faible ou non-existante à la vie ou la propriété,2021-06-07,2021-04-01,Oui,Les changements ont été constatés après la fonte des neiges,2021-08-06,-65.124566,48.071308
"0",Autre,"98014",Gros-Mécatina,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-23,Non,,,-58.965325,50.828977
"39",Feu de forêt,"97904",Lac-Walker,Imprécise,,Menace possible à la vie ou à la propriété,2020-05-20,2020-05-20,Non,,2020-11-17,-66.981965,50.71938
"248",Alimentation publique en eau potable,"66023",Montréal,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-27,2022-06-27,Non,,2022-06-29,-73.599915,45.556314
"166",Vague de chaleur,"66023",Montréal,Imprécise,,Menace possible à la vie ou à la propriété,2021-06-05,2021-06-06,Non,,2021-06-09,-73.599915,45.556314
"111",Effondrement de structure,"66023",Montréal,Imprécise,,Menace possible à la vie ou à la propriété,2021-05-20,2021-05-20,Non,,2021-06-09,-73.599915,45.556314
"110",Risque d'explosion,"66023",Montréal,Très précise,Fuite de méthane provenant d'une poche souterraine,Menace possible à la vie ou à la propriété,2021-10-20,2021-10-20,Non,,2022-01-20,-73.513891,45.603637
"11",Santé,"66023",Montréal,Imprécise,,Menace possible à la vie ou à la propriété,2022-01-26,,Oui,,,-73.599915,45.556314
"8",Inondation,"66023",Montréal,Précise,,Menace possible à la vie ou à la propriété,2022-02-25,,,,2022-06-15,-73.567688,45.663584
"8",Inondation,"66023",Montréal,Imprécise,,Menace possible à la vie ou à la propriété,2021-04-15,2021-04-15,Non,,2021-10-26,-73.599915,45.556314
"8",Inondation,"66023",Montréal,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-14,2022-04-14,Oui,Depuis quelques jours,,-73.599915,45.556314
"0",Autre,"66023",Montréal,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-01,2022-05-01,Non,,2022-05-02,-73.575819,45.573342
"25",Panne d'électricité,"80103",Chénéville,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-26,2022-05-21,Non,,,-75.057688,45.883493
"138",Orage violent,"77043",Saint-Sauveur,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.161133,45.890292
"25",Panne d'électricité,"80110",Namur,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,,-74.924016,45.890544
"101",Mouvement de terrain,"95005",Tadoussac,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-29,,Oui,,2020-11-27,-71.372859,46.887337
"39",Feu de forêt,"95005",Tadoussac,Imprécise,,Menace possible à la vie ou à la propriété,2021-08-07,2021-08-07,Non,,2021-12-06,-69.714124,48.146776
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace possible à la vie ou à la propriété,2020-08-05,2020-08-05,Non,,2021-03-18,-72.271083,48.535411
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-07-30,2020-07-30,Non,,2020-11-02,-72.23206,48.525067
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-07,2020-08-05,Non,,2021-03-18,-72.251801,48.509926
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-07-09,2021-07-09,Non,,2021-08-16,-72.191754,48.466502
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-28,2022-05-28,Non,,,-72.197432,48.474773
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-29,,Oui,,,-72.176684,48.453765
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-28,2022-05-27,Non,,,-72.179752,48.455384
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-09,2022-05-27,Non,,,-72.176803,48.453811
"101",Mouvement de terrain,"91025",Roberval,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-13,2022-05-27,Non,,,-72.176467,48.452822
"8",Inondation,"91025",Roberval,Imprécise,,Menace possible à la vie ou à la propriété,2020-08-05,2020-08-05,Non,,2021-03-18,-72.22992,48.514132
"8",Inondation,"91025",Roberval,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-28,2022-05-28,Non,,2022-07-13,-72.22992,48.514132
"8",Inondation,"07100",Saint-Noël,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,,Oui,,2021-05-19,-67.833174,48.580623
"138",Orage violent,"75040",Prévost,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-22,,,,2022-06-08,-74.068773,45.853256
"8",Inondation,"83050",Bouchette,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-28,2022-05-28,Non,,2022-07-20,-75.950899,46.20482
"8",Inondation,"83050",Bouchette,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-07-23,2022-07-23,Non,,,-75.950899,46.20482
"9",Érosion,"18070",Saint-Antoine-de-l'Isle-aux-Grues,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-08-16,,Oui,Lors des grandes marées d'automne et du printemps,2022-06-06,-70.512595,47.105958
"39",Feu de forêt,"96902",Rivière-aux-Outardes,Précise,,Menace possible à la vie ou à la propriété,2021-06-08,,,,2021-12-06,-68.8236,49.6564
"101",Mouvement de terrain,"06045",Matapédia,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-05,2022-04-23,Non,,2022-06-15,-66.947882,47.9566
"8",Inondation,"06045",Matapédia,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-12,2022-04-12,Non,,2022-06-15,-66.970854,47.917685
"8",Inondation,"06045",Matapédia,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-05-07,-66.934291,47.961593
"156",Accident de voiture,"41055",Ascot Corner,Très précise,,Menace possible à la vie ou à la propriété,2022-05-03,2022-05-03,Non,,2022-05-05,-71.738258,45.455163
"138",Orage violent,"78047",Mont-Blanc,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-21,Non,,2022-06-08,-74.467288,46.122009
"138",Orage violent,"78055",Montcalm,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,2022-06-08,-74.550507,45.94582
"138",Orage violent,"62047",Chertsey,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-21,2022-05-21,Non,,2022-06-08,-73.886652,46.07309
"8",Inondation,"62047",Chertsey,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2022-02-23,-73.886652,46.07309
"101",Mouvement de terrain,"95032",Longue-Rive,Très précise,,Menace importante à la vie ou à la propriété,2021-04-13,,Oui,le propriétaire à remarqué les déformations ce printemps mais les déformations ne sont pas récentes.,2021-06-22,-69.280624,48.515574
"8",Inondation,"69050",Elgin,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-15,2021-03-13,Oui,L'évènement est arrivé au courant de la fin de semaine.,2021-10-15,-74.27105,45.021442
"8",Inondation,"84035",L'Île-du-Grand-Calumet,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-29,2022-04-29,Non,,,-76.703707,45.82658
"8",Inondation,"94245",Saint-David-de-Falardeau,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-16,2022-05-16,Non,,2022-07-13,-71.001086,48.571771
"9",Érosion,"59020",Varennes,Très précise,,Menace importante à la vie ou à la propriété,2021-07-27,2021-07-09,Oui,La situation perdure depuis plusieurs années,2021-10-15,-73.471522,45.694242
"25",Panne d'électricité,"80045",Plaisance,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,,-75.117177,45.6062
"101",Mouvement de terrain,"96020",Baie-Comeau,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-02,,Oui,1er ou 2 décembre 2020,2021-03-26,-68.154926,49.286167
"39",Feu de forêt,"96020",Baie-Comeau,Imprécise,,Menace possible à la vie ou à la propriété,2020-06-19,2020-06-19,Non,,2020-11-17,-68.275959,49.197737
"138",Orage violent,"63048",Saint-Lin - Laurentides,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-21,2022-05-21,Non,,2022-06-08,-73.757148,45.841008
"101",Mouvement de terrain,"63048",Saint-Lin - Laurentides,Très précise,Cavités,Menace faible ou non-existante à la vie ou la propriété,2021-01-01,2016-01-01,Oui,Les premières cavités ont été rapportées par la propriétaire en juillet 2015.,2021-04-20,-73.743588,45.844481
"8",Inondation,"63048",Saint-Lin - Laurentides,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-10-26,-73.743399,45.844453
"8",Inondation,"56083",Saint-Jean-sur-Richelieu,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-12,2021-03-12,Non,,2021-10-15,-73.282325,45.324358
"138",Orage violent,"46075",Lac-Brome,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-07-12,,,,,-72.521544,45.241541
"25",Panne d'électricité,"46075",Lac-Brome,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-12,Non,,2022-02-23,-72.521544,45.241541
"138",Orage violent,"77030",Piedmont,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-22,Non,,2022-06-08,-74.134698,45.897576
"8",Inondation,"35045",Saint-Roch-de-Mékinac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-20,,,,2022-05-24,-72.770074,46.810623
"248",Alimentation publique en eau potable,"25213",Lévis,Précise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-16,2020-06-16,Non,,2021-01-06,-71.288917,46.681309
"156",Accident de voiture,"25213",Lévis,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-19,2022-01-19,Non,,2022-01-19,-71.245726,46.738906
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-07-17,2020-07-17,Non,,2021-02-09,-71.1888,46.802483
"101",Mouvement de terrain,"25213",Lévis,Très précise,Dans le talus derrière la résidence.,Menace faible ou non-existante à la vie ou la propriété,2020-11-10,2020-09-30,Non,,2021-02-18,-71.173507,46.825037
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-10-07,2020-10-03,Non,,2021-02-09,-71.126536,46.828731
"101",Mouvement de terrain,"25213",Lévis,Très précise,Lot  2 219 154,Menace faible ou non-existante à la vie ou la propriété,2020-11-04,2020-11-03,Non,,2021-03-31,-71.196801,46.767327
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-31,,Oui,Reviens à chaque printemps,2021-06-17,-71.126045,46.72167
"101",Mouvement de terrain,"25213",Lévis,Très précise,Blocs instables,Menace faible ou non-existante à la vie ou la propriété,2021-07-08,,Oui,"Éboulis de blocs rocheux depuis plusieurs années. Depuis ce printemps 2021, des blocs semblent instables dans le talus.",2021-09-28,-71.362961,46.713412
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace possible à la vie ou à la propriété,2021-07-24,2021-07-24,Non,,2021-09-28,-71.191426,46.793506
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-10-20,,Oui,Semaine du 11 octobre,2022-01-19,-71.20038,46.781642
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace possible à la vie ou à la propriété,2021-11-02,2021-11-01,Non,,2021-12-14,-71.189288,46.801391
"101",Mouvement de terrain,"25213",Lévis,Très précise,,Menace possible à la vie ou à la propriété,2022-05-29,2022-05-29,Non,,2022-07-06,-71.193334,46.79012
"101",Mouvement de terrain,"25213",Lévis,Très précise,glissement de terrain dans le sentier,Menace faible ou non-existante à la vie ou la propriété,2022-07-03,2022-07-02,Oui,Date probablement du 1er ou 2 juillet,,-71.18789,46.74335
"101",Mouvement de terrain,"25213",Lévis,Très précise,Face au 6210 rue Saint-Laurent Lévis,Menace faible ou non-existante à la vie ou la propriété,2022-07-24,2022-07-24,Non,,,-71.185314,46.814729
"8",Inondation,"25213",Lévis,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-25,2021-03-25,Non,,2021-04-19,-71.281768,46.711176
"174",Panne de télécommunication,"98040",Havre-Saint-Pierre,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-20,2020-08-20,Non,,2020-11-17,-63.595746,50.247612
"8",Inondation,"39170",Saint-Louis-de-Blandford,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-26,Non,,2021-08-18,-72.012422,46.256747
"138",Orage violent,"76030",Mille-Isles,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.220016,45.816017
"8",Inondation,"05070",New Richmond,Précise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-01,2020-12-01,Non,,2021-04-19,-65.810938,48.182396
"248",Alimentation publique en eau potable,"60005",Charlemagne,Imprécise,,Menace possible à la vie ou à la propriété,2022-06-27,2022-06-27,Non,,2022-06-29,-73.489972,45.725359
"248",Alimentation publique en eau potable,"78032",Sainte-Agathe-des-Monts,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-23,Non,,2022-06-08,-74.288727,46.027567
"8",Inondation,"78032",Sainte-Agathe-des-Monts,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2022-02-23,-74.234673,46.030102
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.693181,46.945499
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.722414,46.937186
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace possible à la vie ou à la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.713813,46.934468
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.715309,46.934105
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.69368,46.945507
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.762342,46.910491
"9",Érosion,"18065",Berthier-sur-Mer,Très précise,Derrière le garage,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.761477,46.910709
"171",Vent violent,"36033",Shawinigan,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-21,,,,2021-07-26,-72.74579,46.569769
"101",Mouvement de terrain,"36033",Shawinigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-07,2020-08-04,Non,,2020-12-09,-72.74241,46.528807
"101",Mouvement de terrain,"36033",Shawinigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-07,,Oui,,2021-05-12,-72.687172,46.61015
"101",Mouvement de terrain,"36033",Shawinigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-11-09,2020-09-01,Oui,,2020-12-09,-72.777429,46.544892
"101",Mouvement de terrain,"36033",Shawinigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-27,2021-04-10,Oui,,2021-05-11,-72.759647,46.52315
"101",Mouvement de terrain,"36033",Shawinigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-16,,Oui,,2021-08-18,-72.742417,46.571365
