code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"248",Alimentation publique en eau potable,"39062",Victoriaville,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-10,2022-01-10,Non,,2022-01-13,-71.965934,46.060842
"101",Mouvement de terrain,"39062",Victoriaville,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-25,,Oui,,2021-05-11,-71.956131,46.051644
"101",Mouvement de terrain,"39062",Victoriaville,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-07-19,,Oui,,2022-07-20,-71.979356,46.070389
"8",Inondation,"39062",Victoriaville,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-08-18,-72.016658,46.059807
"101",Mouvement de terrain,"54110",Saint-Jude,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-12,,,,2021-03-15,-72.984734,45.778904
"101",Mouvement de terrain,"54110",Saint-Jude,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-07-28,,Oui,Entre 2014 et 2021,2021-10-15,-72.961606,45.80799
"101",Mouvement de terrain,"54110",Saint-Jude,Très précise,,Menace possible à la vie ou à la propriété,2021-04-26,2021-04-25,Non,,2021-10-15,-72.996197,45.772785
"101",Mouvement de terrain,"83015",Kazabazua,Très précise,Chemin municipal à proximité du 246 ch. Mulligan Ferry,Menace faible ou non-existante à la vie ou la propriété,2020-11-20,2020-08-06,Non,,2020-11-30,-76.015102,46.023685
"138",Orage violent,"77012",Sainte-Marguerite-du-Lac-Masson,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.065953,46.02657
"8",Inondation,"77012",Sainte-Marguerite-du-Lac-Masson,Précise,,Menace possible à la vie ou à la propriété,2021-02-03,2020-01-01,Non,,2021-04-07,-74.113358,46.091656
"0",Autre,"77012",Sainte-Marguerite-du-Lac-Masson,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-06-30,2021-06-30,Non,,2022-02-23,-74.065953,46.02657
"8",Inondation,"28070",Saint-Camille-de-Lellis,Précise,,Menace possible à la vie ou à la propriété,2021-03-26,2021-03-26,Non,,2021-04-19,-70.175972,46.514432
"110",Risque d'explosion,"56105",Sainte-Brigide-d'Iberville,Très précise,Endroit de l'accident,Menace faible ou non-existante à la vie ou la propriété,2022-02-20,2022-02-20,Non,,2022-02-21,-73.09571,45.344808
"90",Feu urbain,"46065",Bolton-Ouest,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-25,2020-06-22,Non,,2020-09-09,-72.439987,45.230754
"8",Inondation,"52055",Saint-Barthélemy,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-10-26,-73.118526,46.191003
"101",Mouvement de terrain,"33095",Saint-Antoine-de-Tilly,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-09-28,2021-09-28,Non,,2021-10-20,-71.563868,46.665794
"154",Fermeture de pont,"91015",Saint-François-de-Sales,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-28,2022-05-28,Non,,2022-07-13,-72.222507,48.342283
"138",Orage violent,"63035",Saint-Roch-de-l'Achigan,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-23,2022-05-21,Non,,2022-06-08,-73.593725,45.856511
"101",Mouvement de terrain,"63035",Saint-Roch-de-l'Achigan,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2020-03-30,,Oui,,2021-01-26,-73.604781,45.855495
"101",Mouvement de terrain,"63035",Saint-Roch-de-l'Achigan,Très précise,Mouvements de sol,Menace faible ou non-existante à la vie ou la propriété,2020-07-07,,Oui,,2021-03-23,-73.590002,45.85019
"101",Mouvement de terrain,"63035",Saint-Roch-de-l'Achigan,Très précise,,Menace extraordinaire à la vie ou à la propriété,2021-05-03,,Oui,"Fin avril, début mai 2021",2022-01-10,-73.558842,45.835382
"101",Mouvement de terrain,"63035",Saint-Roch-de-l'Achigan,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-07-13,,Oui,,2022-03-17,-73.534322,45.871918
"101",Mouvement de terrain,"63035",Saint-Roch-de-l'Achigan,Très précise,,Menace possible à la vie ou à la propriété,2022-04-17,2022-04-17,Non,,,-73.534143,45.871889
"88",Incendie industriel,"07085",Sayabec,Très précise,,Menace possible à la vie ou à la propriété,2021-06-08,2021-06-07,Non,,2021-10-28,-67.654283,48.557023
"174",Panne de télécommunication,"43027",Sherbrooke,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-08-12,2021-08-11,Non,,2021-10-15,-71.925141,45.377714
"101",Mouvement de terrain,"43027",Sherbrooke,Très précise,,Gravité inconnue,2020-07-07,2020-07-04,Non,,2020-11-27,-71.862855,45.408843
