no_seq_observation,id_reseau,date_observation,code_municipalite,nom,urgence,certitude,type,severite,etat,imprecision
"1868",marh01,1998/10/30 00:00:00,"09092",Sainte-Luce,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1869",marh01,1992/06/23 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1870",marh01,2004/08/12 00:00:00,"06005",Maria,Passée,Observé,Pluie,Mineure,Actuel,aucune
"1871",marh01,1998/11/01 00:00:00,"09065",Price,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1872",marh01,1996/07/20 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1873",marh01,1905/04/19 00:00:00,"07100",Saint-Noël,Passée,Observé,Feu de forêt,Mineure,Actuel,aucune
"1874",marh01,2002/07/22 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1875",marh01,2013/06/28 00:00:00,"06045",Matapédia,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1876",marh01,2011/06/28 00:00:00,"05020",Hope Town,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1877",marh01,2013/05/31 00:00:00,"06020",Nouvelle,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1878",marh01,1998/10/30 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Débordement de barrage,Mineure,Actuel,aucune
"1879",marh01,1998/10/30 00:00:00,"09085",Sainte-Flavie,Passée,Observé,Distribution d'électricité,Mineure,Actuel,aucune
"1880",marh01,1993/06/23 00:00:00,"09092",Sainte-Luce,Passée,Observé,Accident ferroviaire,Mineure,Actuel,aucune
"1881",marh01,2008/08/02 00:00:00,"06990",TNO aquatique de la MRC d'Avignon,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1882",marh01,2006/11/21 00:00:00,"06013",Carleton-sur-Mer,Passée,Observé,Autre,Mineure,Actuel,aucune
"1883",marh01,2008/07/21 00:00:00,"06013",Carleton-sur-Mer,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1884",marh01,2007/11/04 00:00:00,"09085",Sainte-Flavie,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1885",marh01,2008/07/01 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1886",marh01,1998/10/30 00:00:00,"09035",Sainte-Angèle-de-Mérici,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1887",marh01,1980/05/01 00:00:00,"06013",Carleton-sur-Mer,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1888",marh01,1988/01/01 00:00:00,"06025",Escuminac,Passée,Observé,Inondation,Mineure,Actuel,date
"1889",marh01,2001/03/01 00:00:00,"06025",Escuminac,Passée,Observé,Feu de forêt,Mineure,Actuel,date
"1890",marh01,2007/05/20 00:00:00,"06025",Escuminac,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1891",marh01,2008/07/01 00:00:00,"06005",Maria,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1892",marh01,2002/08/02 00:00:00,"06990",TNO aquatique de la MRC d'Avignon,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1893",marh01,2010/05/04 00:00:00,"09092",Sainte-Luce,Passée,Observé,Onde de tempête,Importante,Actuel,aucune
"1894",marh01,1994/09/12 00:00:00,"09092",Sainte-Luce,Passée,Observé,Tremblement de terre,Mineure,Actuel,aucune
"1895",marh01,2013/06/01 00:00:00,"09045",Les Boules,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1896",marh01,1980/07/07 00:00:00,"09085",Sainte-Flavie,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1897",marh01,2004/09/10 00:00:00,"06005",Maria,Passée,Observé,Pluie,Mineure,Actuel,aucune
"1898",marh01,1996/01/27 00:00:00,"04045",Cap-Chat,Passée,Observé,Vent de tempête,Mineure,Actuel,aucune
"1899",marh01,1994/09/10 00:00:00,"09020",Sainte-Jeanne-d'Arc,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1900",marh01,2006/07/04 00:00:00,"06045",Matapédia,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1901",marh01,2006/11/21 00:00:00,"06020",Nouvelle,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1902",marh01,2013/05/31 00:00:00,"06020",Nouvelle,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1903",marh01,1991/07/08 00:00:00,"06020",Nouvelle,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1904",marh01,2001/07/24 00:00:00,"06020",Nouvelle,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1905",marh01,2010/10/01 00:00:00,"05020",Hope Town,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1906",marh01,2010/12/15 00:00:00,"05050",Saint-Elzéar,Passée,Observé,Pluie,Mineure,Actuel,aucune
"1907",marh01,2008/08/03 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1908",marh01,2008/08/03 00:00:00,"06045",Matapédia,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1909",marh01,2007/10/01 00:00:00,"06020",Nouvelle,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1910",marh01,1992/09/15 00:00:00,"06030",Pointe-à-la-Croix,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1911",marh01,2004/05/01 00:00:00,"05070",New Richmond,Passée,Observé,Inondation,Mineure,Actuel,date
"1912",marh01,2003/06/01 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1913",marh01,2006/05/01 00:00:00,"06030",Pointe-à-la-Croix,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
